X	Y	Elev	G	FA	Boug
277414	9941383	0.00	978017.8810	-15.0944041012	-14.3959659836
278527	9941383	0.00	978019.1931	-13.7822927821	-12.9790140344
279640	9941383	0.00	978020.0756	-12.8997285922	-11.9881385874
280754	9941384	0.00	978020.5024	-12.4729842058	-11.4599173299
281867	9941384	0.00	978020.4847	-12.4907088502	-11.3921857918
282980	9941384	0.00	978020.0677	-12.9076536785	-11.7467016365
284094	9941385	0.00	978019.3244	-13.6510165019	-12.454713413
285207	9941385	0.00	978018.3468	-14.6285925823	-13.4247087381
286320	9941385	0.00	978017.2375	-15.7378178356	-14.5514693382
287434	9941386	0.00	978016.1006	-16.8747928281	-15.7255110478
288547	9941386	0.00	978015.0329	-17.9424709112	-16.8420327479
289660	9941386	0.00	978014.1180	-18.8573629332	-17.8086263982
290774	9941387	0.00	978013.4210	-19.5543285491	-18.5511901065
291887	9941387	0.00	978012.9861	-19.9892616756	-19.0177121218
293000	9941387	0.00	978012.8357	-20.1397068837	-19.1798287431
294114	9941388	0.00	978012.9717	-20.0036402683	-19.0322780419
295227	9941388	0.00	978013.3786	-19.5967944792	-18.5905530012
296340	9941388	0.00	978014.0264	-18.9489931905	-17.8871874538
297453	9941389	0.00	978014.8754	-18.0999834877	-16.9671786973
298567	9941389	0.00	978015.8801	-17.0952214686	-15.8830618923
299680	9941389	0.00	978016.9934	-15.9819888694	-14.690109912
300793	9941390	0.00	978018.1693	-14.8061126785	-13.4420498598
301906	9941390	0.00	978019.3659	-13.6094429497	-12.1875786919
303020	9941390	0.00	978020.5472	-12.4281326432	-10.9678409299
304133	9941391	0.00	978021.6837	-11.291670646	-9.8149158613
305246	9941391	0.00	978022.7528	-10.2225538079	-8.7512617889
306359	9941391	0.00	978023.7389	-9.2364494563	-7.7899888704
307473	9941392	0.00	978024.6327	-8.3426948912	-6.9357837769
308586	9941392	0.00	978025.4304	-7.5449991593	-6.1862885908
309699	9941392	0.00	978026.1331	-6.8422463974	-5.5337395188
310812	9941393	0.00	978026.7460	-6.2293396811	-4.9666922667
311925	9941393	0.00	978027.2773	-5.698060424	-4.4716933511
313039	9941393	0.00	978027.7374	-5.2379439346	-4.0347934081
314152	9941394	0.00	978028.1382	-4.8371826022	-3.6428339462
